"","numSunkCost","numLessMore","LW_DV","numDisease","numDefault","SunkCondition","LessMoreCondition","numLW_IV","DiseaseCondition","DefaultCondition","numINCOME","numEDU","numPolitical","lgnumHOURS","AGE","CRTScore","BNT","ATTN","numGENDER","SUNK_FAM","LESSMORE_FAM","LW_FAM","DISEASE_FAM","DEFAULT_FAM","BNT_FAM","CRT_FAM","TIME_SUNK_Page.Submit.lg","TIME_LESSMORE_Page.Submit.lg","TIME_LW_DV_Page.Submit.lg","TIME_DISEASE_Page.Submit.lg","TIME_DEFAULT_Page.Submit.lg","TIME_SUNK_Page.Submit","TIME_LESSMORE_Page.Submit","TIME_LW_DV_Page.Submit","TIME_DISEASE_Page.Submit","TIME_DEFAULT_Page.Submit","Panel","dates_api"
"346",3,7,3,1,1,"FREE","COAT",2.74902463055827,"LOSS","OPTOUT",65,3,3,4.78749174278205,42,0,2,1,1,1,1,1,1,1,1,1,2.75181187054108,3.68665197512358,1.69616591594392,3.91591542014349,3.65842024662923,15.671,39.911,5.453,50.195,38.8,"Blended","2022-03-28"
"347",9,5,3,0,1,"PAID","COAT",2.64299208406763,"LOSS","OPTOUT",125,4,7,3.65646639854054,61,0,3,1,1,1,1,1,1,1,1,1,2.90968406892854,3.21068234983967,2.75512460848814,3.44661679185302,3.28372679718782,18.351,24.796,15.723,31.394,26.675,"Blended","2022-03-28"
"348",9,7,1,1,1,"PAID","COAT",3.0123054441086,"LOSS","OPTOUT",45,5,7,4.78749174278205,74,0,1,2,0,1,1,1,1,1,1,1,3.14466938632836,3.74561416709424,2.24633215144325,4.04041622019655,3.97663027420254,23.212,42.335,9.453,56.85,53.337,"Blended","2022-03-28"
"349",1,7,3,1,0,"FREE","SCARF",2.70781198041285,"GAIN","OPTIN",45,3,4,3.17805383034795,79,1,1,1,1,1,1,1,1,1,1,1,3.47639761422509,2.7985610035097,2.25517897059678,3.48194753134726,3.32319980350709,32.343,16.421,9.537,32.523,27.749,"Blended","2022-03-28"
"350",1,7,4,1,1,"PAID","SCARF",2.73862143731768,"LOSS","OPTNEUTRAL",125,5,4,4.78749174278205,66,0,1,1,1,1,1,1,1,1,1,1,2.9781791143064,3.55007705123348,2.32493349665781,4.19033632787583,2.40568305099761,19.652,34.816,10.226,66.045,11.086,"Blended","2022-03-28"
"351",2,5,1,1,0,"PAID","COAT",2.83625140465245,"LOSS","OPTOUT",5,3,6,2.484906649788,66,0,1,2,1,1,1,1,1,1,1,1,2.84351306057648,3.44827178904808,1.96318858485559,4.07278038430626,3.10566233292619,17.176,31.446,7.122,58.72,22.324,"Blended","2022-03-28"
"352",2,5,1,0,1,"FREE","COAT",2.79143764915452,"LOSS","OPTOUT",125,5,5,3.17805383034795,54,0,1,2,1,1,1,1,3,1,1,3,2.58021682959233,2.69705665962734,1.77461331039308,2.84891298660253,4.85555529369548,13.2,14.836,5.898,17.269,128.452,"Blended","2022-03-28"
"353",9,7,4,1,0,"PAID","COAT",2.73662082323295,"LOSS","OPTNEUTRAL",175,5,4,2.484906649788,69,0,2,2,1,1,1,1,1,1,1,2,2.69015774826062,2.84897089215859,1.49447589396442,3.37379192597155,3.33612538491844,14.734,17.27,4.457,29.189,28.11,"Blended","2022-03-28"
"354",7,7,2,1,0,"FREE","SCARF",3.07352423510131,"GAIN","OPTOUT",5,1,4,-0.693147180559945,68,0,1,1,1,1,1,1,1,1,1,1,3.21330031053502,3.37293507194418,2.04846673738041,4.34181643213741,3.78843062817552,24.861,29.164,7.756,76.847,44.187,"Blended","2022-03-28"
"355",1,7,2,0,1,"FREE","SCARF",3.12794093820594,"LOSS","OPTIN",25,2,4,4.02535169073515,67,3,1,2,1,1,1,1,1,1,1,5,2.63583786698829,3.36249120278008,2.0035049755899,3.84669483926966,3.98480867515379,13.955,28.861,7.415,46.838,53.775,"Blended","2022-03-28"
"356",3,7,1,1,1,"PAID","COAT",3.08232693707412,"LOSS","OPTOUT",85,3,6,1.79175946922805,74,1,2,2,1,1,1,1,1,1,1,1,3.23907053215372,2.90389106988841,1.4588475538016,3.38428856325924,3.07273960991478,25.51,18.245,4.301,29.497,21.601,"Blended","2022-03-28"
"357",5,7,3,1,1,"PAID","SCARF",2.84185312408969,"GAIN","OPTIN",55,2,2,3.65646639854054,39,0,2,2,0,1,1,1,1,1,1,1,2.5960752657288,2.96403518681074,1.34025042261848,3.42706004118788,3.48608984868012,13.411,19.376,3.82,30.786,32.658,"Blended","2022-03-28"
"358",9,7,3,0,0,"PAID","SCARF",2.73141922661265,"GAIN","OPTOUT",125,2,4,4.78749174278205,68,0,1,2,1,1,1,1,1,1,3,5,2.4800615981248,3.78280230839071,2.38158109922054,3.30659361895318,2.72876744269093,11.942,43.939,10.822,27.292,15.314,"Blended","2022-03-28"
"359",1,7,4,0,1,"FREE","SCARF",2.63458950491177,"LOSS","OPTOUT",35,5,6,3.65646639854054,65,1,2,2,1,1,1,1,1,1,1,3,3.29835221836998,3.12157165839314,1.6482739362193,4.03832079854077,3.53488292907089,27.068,22.682,5.198,56.731,34.291,"Blended","2022-03-28"
"360",8,6,4,0,1,"PAID","SCARF",2.79743949140871,"GAIN","OPTIN",95,5,3,3.17805383034795,72,1,1,2,0,1,1,3,1,3,1,1,2.54999189644393,3.33843505992584,1.58596455624846,2.50789048617838,5.03186827050426,12.807,28.175,4.884,12.279,153.219,"Blended","2022-03-28"
"361",8,7,3,1,1,"PAID","SCARF",3.17835641314111,"LOSS","OPTOUT",45,3,5,3.65646639854054,74,0,1,2,1,1,1,1,1,1,1,5,3.46363995784086,2.89751286604753,2.07140936998257,3.93540744566088,3.21100493048763,31.933,18.129,7.936,51.183,24.804,"Blended","2022-03-28"
"362",7,7,2,0,0,"PAID","COAT",2.72141615618901,"GAIN","OPTIN",85,2,5,3.17805383034795,58,0,2,2,1,1,1,1,1,2,2,1,3.36134713706219,2.8838505409059,1.91765763610343,3.94229999631242,3.37622139559198,28.828,17.883,6.805,51.537,29.26,"Blended","2022-03-28"
"363",7,5,3,0,1,"PAID","COAT",2.68260424294526,"GAIN","OPTNEUTRAL",35,6,1,0.405465108108164,72,2,3,2,1,1,1,1,1,3,1,2,3.69721957838894,3.11684309930305,2.03770767319553,3.71327934093747,3.12610242471585,40.335,22.575,7.673,40.988,22.785,"Blended","2022-03-28"
"364",1,5,4,1,1,"PAID","COAT",2.84385373817442,"LOSS","OPTIN",5,4,4,5.29831736654804,43,2,1,1,1,2,2,2,2,2,2,2,2.93984951630632,3.29739121293657,2.06204102699967,3.05168718569844,3.87111767410214,18.913,27.042,7.862,21.151,47.996,"Blended","2022-03-28"
"365",4,7,1,0,0,"PAID","SCARF",2.97829500466821,"LOSS","OPTIN",95,5,6,4.02535169073515,76,1,2,2,0,1,1,1,1,1,1,1,3.33921558930627,3.09317653821484,2.26664698618842,3.63521492952824,3.64803141758792,28.197,22.047,9.647,37.91,38.399,"Blended","2022-03-28"
"366",3,7,3,1,1,"FREE","SCARF",2.68260424294526,"LOSS","OPTNEUTRAL",55,3,4,4.02535169073515,67,0,1,2,0,1,1,1,2,1,1,1,3.22807339722224,3.04314053094898,2.254234832053,3.27536957342267,2.83250721245102,25.231,20.971,9.528,26.453,16.988,"Blended","2022-03-28"
