voice,tmean,Time_s,F0_Hz
40,246.165140748091,242.725198,117.695185
40,246.165140748091,242.735198,116.916666
40,246.165140748091,242.745198,115.639806
40,246.165140748091,242.755198,114.274927
40,246.165140748091,242.765198,113.144546
40,246.165140748091,242.775198,111.778472
40,246.165140748091,242.785198,110.00809
40,246.165140748091,242.795198,108.057504
40,246.165140748091,242.805198,106.394773
40,246.165140748091,242.815198,105.671662
40,246.165140748091,242.825198,104.400206
40,246.165140748091,242.835198,104.282903
40,246.165140748091,242.845198,103.491816
40,246.165140748091,242.855198,104.100602
40,246.165140748091,242.865198,104.545451
40,246.165140748091,242.875198,104.917194
40,246.165140748091,242.885198,104.934961
40,246.165140748091,242.895198,102.02609
40,246.165140748091,242.905198,100.066789
40,246.165140748091,242.915198,97.251433
40,246.165140748091,242.985198,115.45654
40,246.165140748091,242.995198,110.89999
40,246.165140748091,243.005198,106.983599
40,246.165140748091,243.015198,104.398277
40,246.165140748091,243.025198,103.079236
40,246.165140748091,243.035198,110.604214
40,246.165140748091,243.045198,106.031756
40,246.165140748091,243.055198,108.906216
40,246.165140748091,243.065198,107.404223
40,246.165140748091,243.075198,107.93881
40,246.165140748091,243.085198,107.994884
40,246.165140748091,243.095198,108.172396
40,246.165140748091,243.105198,107.901794
40,246.165140748091,243.115198,107.723385
40,246.165140748091,243.125198,107.852333
40,246.165140748091,243.135198,107.547014
40,246.165140748091,243.145198,106.848542
40,246.165140748091,243.155198,105.929336
40,246.165140748091,243.165198,103.578496
40,246.165140748091,243.335198,102.6932
40,246.165140748091,243.345198,101.842108
40,246.165140748091,243.455198,106.542842
40,246.165140748091,243.465198,107.499179
40,246.165140748091,243.475198,108.432743
40,246.165140748091,243.485198,108.276231
40,246.165140748091,243.495198,108.807817
40,246.165140748091,243.505198,109.5174
40,246.165140748091,243.515198,109.33695
40,246.165140748091,243.525198,106.806246
40,246.165140748091,243.535198,109.773625
40,246.165140748091,243.545198,109.185677
40,246.165140748091,243.555198,107.653442
40,246.165140748091,243.815198,118.89019
40,246.165140748091,243.825198,116.552787
40,246.165140748091,243.835198,112.515064
40,246.165140748091,243.845198,111.122005
40,246.165140748091,243.855198,115.373203
40,246.165140748091,243.865198,114.46968
40,246.165140748091,243.875198,115.87402
40,246.165140748091,243.885198,113.223643
40,246.165140748091,243.895198,107.056786
40,246.165140748091,243.955198,115.489252
40,246.165140748091,243.965198,107.467222
40,246.165140748091,243.975198,104.979601
40,246.165140748091,243.985198,103.181865
40,246.165140748091,243.995198,102.692732
40,246.165140748091,244.005198,102.980218
