voice,voicefil,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,ptype,plev,vsex,pitch_smeanMD,pitch_svarMD,intense_smeanMD,intense_svarMD,form_smeanMD,form_svarMD,HNDE,HNEX,HNIN,HPEF,HPFO,HPRE,LNEY,LNSP,LNSW,LPAT,LPFO,LPGR,HN,HP,LN,LP,LPr,LNr,newpster
40,m40_power.wav,1050.312999,27867.64804,1300.849131,78568.33502,62.97138213,218.1497593,64.93386508,120.5478865,117.8043103,590.8982226,113.7459367,880.7899654,BATNA,1,-1,-38.10005569,-873.9417774,4.190558733,19.63182417,-72.93700058,-13497.84196,4.243243243,4.783783784,3.702702703,4.297297297,4.594594595,4.054054054,3.405405405,3.486486486,3.432432432,3.972972973,4.216216216,4.72972973,4.244054054,4.316486486,3.440810811,4.305405405,3.694594595,4.559189189,4.203581081
41,m41_power.wav,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,SENSE,-1,-1,-35.55247482,26.01079543,1.151793187,-10.91151138,-102.3590167,-111.381744,3.717948718,3.641025641,3.538461538,4.025641026,4.435897436,3.666666667,3.512820513,3.179487179,3.564102564,3.538461538,4.615384615,4.461538462,3.632307692,4.042051282,3.418717949,4.205384615,3.794615385,4.581282051,4.012564103
45,m45_power.wav,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,SENSE,-1,-1,-59.25449845,1276.02705,-7.214613373,-103.0384732,-48.63153825,357.8269913,1.783783784,1.837837838,1.702702703,1.648648649,2.513513514,1.837837838,5.432432432,5.621621622,4.918918919,3.324324324,3.216216216,2.675675676,1.774054054,1.999459459,5.324054054,3.071351351,4.928648649,2.675945946,2.844527027
47,m47_power.wav,1019.280173,36476.42946,1295.292197,56859.8835,62.88386424,284.9701839,65.63589916,163.599381,115.7091968,785.1371002,102.6901303,188.9432308,SENSE,1,-1,-40.19516918,-679.7028998,4.103040844,86.45224878,-103.9698268,-4889.06054,5.324324324,5,4.189189189,5.972972973,5.783783784,5.27027027,1.945945946,2.297297297,2.432432432,4.810810811,5.162162162,5.432432432,4.838108108,5.675675676,2.225945946,5.135135135,2.864864865,5.774054054,4.788175676
48,m48_power.wav,1035.861994,49821.26515,1326.934814,87876.88869,48.03797615,134.9211516,53.06468445,151.4500592,131.8231041,1270.546625,126.582383,1066.354301,SENSE,-1,-1,-24.08126192,-194.293375,-10.74284725,-63.59678348,-87.38800633,8455.775146,1.794871795,1.923076923,1.769230769,1.358974359,2.179487179,1.948717949,6.153846154,5.769230769,5.717948718,2.948717949,3.58974359,2.128205128,1.828717949,1.828717949,5.880512821,2.889230769,5.110769231,2.119487179,2.721923077
50,m50_power.wav,1043.646488,36321.93965,1305.891558,59498.63407,54.45717855,123.381529,52.12079475,126.0357383,89.70881494,737.227567,87.16052176,216.355962,STATUS,-1,-1,-66.19555106,-727.612433,-4.323644849,-75.13640606,-79.60351156,-5043.550352,1.743589744,2,1.435897436,1.794871795,2.384615385,2.307692308,5.743589744,5.923076923,5.358974359,3,3.692307692,2.487179487,1.726666667,2.162051282,5.675384615,3.06025641,4.93974359,2.324615385,2.788269231
52,m52_power.wav,1086.064903,37949.56569,1296.72977,57757.27292,60.37531232,282.6652758,62.23230525,145.7163482,100.901287,518.7544425,93.00600189,84.50976326,BATNA,-1,-1,-55.00307897,-946.0855575,1.594488922,84.14734067,-37.18509741,-3415.924306,4.162162162,4.108108108,3.891891892,4.108108108,4.916666667,3.916666667,3.027777778,3.351351351,3.277777778,3.837837838,4.864864865,4.243243243,4.054054054,4.342432432,3.27,4.315675676,3.684324324,4.73,4.202702703
53,m53_power.wav,1075.72259,30140.77048,1247.239583,61655.52393,59.96545945,251.283483,63.31102531,155.712559,132.359591,272.6203385,131.3547941,643.6308851,INFO,1,-1,-23.54477504,-1192.219662,1.18463605,52.7655479,-47.52740953,-11224.71952,4.078947368,4.052631579,3.473684211,4.736842105,5.026315789,4.421052632,2.921052632,3.105263158,3.578947368,4.763157895,5.026315789,4.815789474,3.868421053,4.728157895,3.202105263,4.868421053,3.131578947,4.797894737,4.131513158
54,m54_power.wav,1267.848316,67238.61089,1254.238152,63640.82151,60.19780214,288.426184,62.9463703,178.3112787,129.2346219,543.5552085,120.2864431,181.0162738,INFO,-1,-1,-26.66974407,-921.2847915,1.416978737,89.90824885,144.5983159,25873.12089,3.216216216,3.405405405,2.72972973,3.891891892,4.810810811,4.216216216,3.486486486,3.702702703,3.756756757,4.783783784,4.972972973,4.72972973,3.117567568,4.306486486,3.648648649,4.829459459,3.170540541,4.351351351,3.736486486
55,m55_power.wav,1012.532128,36022.58102,1207.728318,71863.45333,55.20447159,289.4371163,58.4263815,193.8340335,112.5555384,1802.661119,116.7175439,6020.57103,SENSE,1,-1,-43.34882756,337.821119,-3.576351805,90.91918116,-110.717872,-5342.908983,3.947368421,4.131578947,3.394736842,4.5,5.263157895,4.421052632,3.157894737,3.052631579,3.447368421,4.052631579,5.026315789,4.684210526,3.825,4.728421053,3.219210526,4.588421053,3.411578947,4.780789474,4.186447368
57,m57_power.wav,1049.151414,31588.98444,1250.01798,62344.88154,56.78630773,240.779756,59.0655805,128.643401,105.1903442,506.0703491,96.5501594,589.0521715,INFO,1,-1,-50.7140218,-958.7696509,-1.994515665,42.26182085,-74.09858586,-9776.505562,3.416666667,3.638888889,3.055555556,3.837837838,4.444444444,3.916666667,3.324324324,3.621621622,3.805555556,4.166666667,4.621621622,4.5,3.370277778,4.063243243,3.581081081,4.441351351,3.558648649,4.418918919,3.855900901
61,m61_power.wav,1273.275511,69003.3969,1283.701171,57684.96612,67.52735065,236.8826829,68.41894089,186.9734497,119.9964896,573.1024331,117.2574924,2002.335981,INFO,1,-1,-35.90787639,-891.7375669,8.746527252,38.36474779,150.0255111,27637.9069,4.9,4.55,4.25,5.225,5.275,4.875,2.75,2.4,2.95,4.625,4.675,4.725,4.567,5.1255,2.69925,4.675,3.325,5.30075,4.5795625
66,m66_power.wav,1033.280549,34088.50071,1307.568672,82051.59564,65.09649701,197.8368168,60.99911473,160.717836,127.4830987,342.1460743,117.4619351,794.6527879,SENSE,1,-1,-28.42126728,-1122.693926,6.315673606,-0.68111833,-89.96945133,-7276.989291,4.794871795,4.846153846,4.538461538,5,4.769230769,4.384615385,2.794871795,2.564102564,2.58974359,4.102564103,4.615384615,4.41025641,4.726923077,4.717948718,2.649487179,4.375897436,3.624102564,5.350512821,4.604871795
68,m68_power.wav,1074.006307,31432.11786,1316.718144,58708.32521,58.6268926,306.1527257,52.47888337,293.2116803,110.36127,1536.908627,102.375634,978.4968974,BATNA,1,-1,-45.54309603,72.0686273,-0.153930797,107.6347906,-49.24369315,-9933.372145,4.525,4.4,3.8,5.375,5.3,4.825,2.55,2.475,3.05,4.5,5.3,5.2,4.24125,5.1665,2.69125,5.00075,2.99925,5.30875,4.4289375
69,m69_power.wav,1089.435005,36613.08304,1325.675317,64609.99508,59.55789419,272.4254191,49.03150667,242.2000259,131.2218398,2595.093624,127.3415518,4115.335016,SENSE,1,-1,-24.68252622,1130.253624,0.777070788,73.907484,-33.81499526,-4752.40696,4.783783784,5.135135135,4.189189189,5.513513514,5.513513514,4.783783784,2.675675676,2.297297297,2.972972973,4.864864865,5.027027027,5.216216216,4.702162162,5.27027027,2.648648649,5.036216216,2.963783784,5.351351351,4.571891892
71,m71_power.wav,1038.861839,41804.5545,1270.138969,53546.95355,57.94200059,183.0276986,60.02325069,198.7517034,94.76319849,227.6949699,98.83891114,749.8394824,INFO,1,-1,-61.14116751,-1237.14503,-0.838822813,-15.49023648,-84.38816064,439.064503,4.473684211,4.236842105,3.578947368,5,5.131578947,4.5,2.868421053,2.684210526,2.842105263,3.894736842,4.657894737,4.631578947,4.096842105,4.876842105,2.798157895,4.395526316,3.604473684,5.201842105,4.445
74,m74_power.wav,1058.036339,38743.66723,1331.451884,107986.8505,57.53460956,125.1796628,57.59291909,124.9966755,99.9894152,883.5060882,93.7607539,353.3820685,BATNA,-1,-1,-55.9149508,-581.3339118,-1.246213837,-73.33827231,-65.21366067,-2621.822774,3.425,3.625,2.875,4,4.725,4.125,3.6,4,3.15,4.15,4.825,4.425,3.308,4.28325,3.58325,4.46625,3.53375,4.41675,3.8854375
75,m75_power.wav,1051.95589,41127.23688,1321.837391,76912.80074,56.01862657,155.3234924,59.27724051,149.4633777,142.0350922,78.99899572,134.4272883,119.6159604,INFO,-1,-1,-13.86927377,-1385.841004,-2.762196833,-43.19444273,-71.29410994,-238.2531203,2.945945946,3.108108108,2.891891892,2.837837838,3.297297297,2.837837838,5.108108108,5.027027027,5.027027027,3.783783784,4.216216216,3.864864865,2.982432432,2.991081081,5.054054054,3.955405405,4.044594595,2.945945946,3.241013514
77,m77_power.wav,1098.07138,43644.59516,1341.263782,61501.56271,58.08624791,234.8539602,53.65654163,283.0410774,133.2964613,383.7764032,126.3820137,1725.498337,STATUS,-1,-1,-22.60790468,-1081.063597,-0.694575491,36.33602514,-25.17862031,2279.10516,2.710526316,2.973684211,2.789473684,2.684210526,4.210526316,3.236842105,4.5,4.5,4.078947368,4.052631579,4.421052632,4.157894737,2.824473684,3.377368421,4.359736842,4.210263158,3.789736842,3.640263158,3.407960526
81,m81_power.wav,1210.976384,63204.22415,1189.320929,62291.07687,60.38461182,243.2383014,61.42716231,250.5412216,102.9857462,1802.965566,116.4797809,5352.911009,BATNA,1,-1,-52.91861978,338.1255658,1.603788418,44.72036626,87.7263841,21838.73415,3.894736842,4.131578947,3.473684211,4.263157895,4.342105263,3.736842105,3.710526316,3.868421053,3.736842105,4.210526316,4.684210526,4.289473684,3.833421053,4.113947368,3.772368421,4.394210526,3.605789474,4.227631579,3.945197368
104,f104_power.wav,1334.56083,66638.65627,1360.706936,70458.86628,60.4824883,195.5227545,61.99604224,156.2550627,209.1055218,4380.595912,212.8390283,4010.737667,INFO,-1,1,53.20115577,2915.755912,1.701664905,-2.995180628,211.3108303,25273.16627,3.027027027,3.189189189,2.702702703,3.648648649,4.621621622,3.783783784,3.675675676,4,3.837837838,4.702702703,4.675675676,4.702702703,2.973783784,4.017567568,3.838108108,4.693513514,3.306486486,4.161891892,3.614932432
105,f105_power.wav,1278.873598,70414.67407,1275.591056,55138.09435,60.04045776,181.5138369,54.40202803,220.9559527,167.947306,1186.34913,155.127097,2204.990518,INFO,1,1,12.04294003,-278.4908703,1.25963436,-17.00409817,155.6235982,29049.18407,4.5,4.775,3.825,5.4,5.5,4.7,2.35,2.425,2.575,4.775,4.975,4.975,4.3665,5.2005,2.45,4.9085,3.0915,5.55,4.552125
110,f110_power.wav,1305.557552,50862.04878,1315.807157,59135.40574,64.08705431,128.4862105,55.35238859,176.3953799,207.3671833,506.7974661,188.4492662,940.5965884,SENSE,1,1,51.46281732,-958.0425339,5.306230905,-70.03172456,182.3075518,9496.558776,4.421052632,4.473684211,3.921052632,4.789473684,4.868421053,4.315789474,2.684210526,3.131578947,3.131578947,4.342105263,4.657894737,4.578947368,4.272105263,4.657894737,2.982105263,4.526315789,3.473684211,5.017894737,4.355394737
111,f111_power.wav,1175.223472,37967.74272,1357.65444,68179.29694,58.82310237,228.2260081,57.77639499,242.8268356,199.1139964,2397.901466,186.6242336,2522.795986,INFO,1,1,43.2096304,933.061466,0.042278973,29.708073,51.97347238,-3397.747276,3.526315789,3.763157895,2.842105263,5.026315789,5.342105263,4.710526316,3.210526316,3.105263158,3.368421053,4.789473684,5.315789474,5.394736842,3.377631579,5.026842105,3.227631579,5.166578947,2.833421053,4.772368421,4.002565789
114,f114_power.wav,1092.170241,35468.7508,1280.9052,66704.24935,56.37679355,229.0790464,52.8311309,191.8689494,185.7797237,1687.796565,170.7899205,742.0682068,STATUS,1,1,29.87535774,222.9565647,-2.404029852,30.56111135,-31.07975873,-5896.739195,3.675,3.85,3.625,3.55,3.85,3.325,3.775,3.075,3.175,3.875,3.85,3.925,3.717,3.57525,3.3415,3.88325,4.11675,4.6585,4.016875
116,f116_power.wav,1161.632364,33235.07133,1313.802129,49223.95045,61.0743689,197.4442821,58.49586174,206.0669846,212.9049111,1896.757578,196.789912,2048.655769,BATNA,-1,1,57.00054512,431.9175775,2.2935455,-1.073653021,38.38236379,-8130.418671,3.567567568,3.621621622,2.972972973,4.081081081,4.837837838,3.945945946,3.783783784,3.648648649,4.081081081,4.594594595,4.891891892,4.810810811,3.387297297,4.288648649,3.837837838,4.765945946,3.234054054,4.162162162,3.768040541
119,f119_power.wav,1089.736764,33310.72717,1291.207483,56511.44759,57.34975475,177.0594878,53.89307256,181.3294271,189.736219,1547.508031,175.0010115,2566.684254,STATUS,1,1,33.83185305,82.66803139,-1.431068645,-21.45844735,-33.51323633,-8054.762831,4.210526316,4.263157895,3.526315789,4.473684211,4.894736842,4.342105263,3.026315789,3.342105263,3.342105263,4.263157895,4.842105263,4.684210526,3.999473684,4.570263158,3.237631579,4.596578947,3.403421053,4.762368421,4.183881579
125,f125_power.wav,1303.862862,65835.4873,1295.089802,62928.86784,60.01625489,165.4552993,57.46116385,183.8927167,176.5093407,1920.650529,163.8666961,2437.085818,BATNA,1,1,20.60497469,455.8105293,1.235431493,-33.06263579,180.6128624,24469.9973,3.675675676,4,3.081081081,4.447368421,4.842105263,4.131578947,3.473684211,3.131578947,3.263157895,4.378378378,5.157894737,4.736842105,3.648684211,4.473157895,3.289210526,4.758947368,3.241052632,4.710789474,4.018421053
126,f126_power.wav,1080.545721,41693.31278,1263.423603,60738.54182,62.52362313,248.8365178,60.41882556,226.7152708,212.2878703,3121.680183,194.4437583,2496.244637,BATNA,1,1,56.38350429,1656.840183,3.742799732,50.31858273,-42.70427889,327.8227808,5.025641026,4.692307692,4.128205128,5,5.358974359,4.615384615,2.820512821,3.102564103,3.230769231,4.641025641,5.128205128,4.820512821,4.615128205,4.991794872,3.051282051,4.863076923,3.136923077,4.948717949,4.423141026
128,f128_power.wav,1323.498762,50543.76425,1310.517301,49546.05611,50.92580546,134.1401835,52.15353253,150.0815495,177.0225405,2390.810487,183.654515,1989.983803,SENSE,-1,1,21.11817451,925.9704873,-7.855017941,-64.3777516,200.2487623,9178.274246,1.526315789,1.894736842,1.763157895,1.631578947,3.5,2.236842105,5.736842105,5.526315789,5.526315789,3.5,4.421052632,3.184210526,1.727631579,2.455789474,5.596315789,3.701052632,4.298947368,2.403684211,2.721513158
130,f130_power.wav,1136.742884,42873.86957, , ,60.8485152,203.7771335, , ,192.665995,1473.084003, , ,STATUS,1,1,58.85639946,-140.1471772,2.368446936,-81.82493136,36.65703917,-981.3278818,3,3.236842105,2.657894737,3.473684211,4.578947368,3.578947368,4.421052632,4.921052632,4.578947368,4.368421053,4.657894737,4.263157895,3.833333333,4.879722222,3.120277778,5.138888889,2.861111111,4.879722222,4.113472222
131,f131_power.wav,1159.907039,40384.16212,1328.632555,55640.75941,61.14927034,116.6930037,59.37563389,180.297936,214.7607655,1324.692823,225.5618098,1689.58995,SENSE,-1,1,17.03243323,1122.038804,-0.682695417,-22.45557774,-38.85985939,-13233.94588,2.405405405,2.567567568,2.555555556,2.305555556,3.583333333,2.783783784,5.333333333,4.783783784,4.621621622,3.864864865,4.305555556,3.486486486,2.964736842,3.877368421,4.640263158,4.430263158,3.569736842,3.359736842,3.442894737
136,f136_power.wav,1084.390141,28131.54412,1256.149693,53457.8947,58.09812798,176.0623574,58.06170882,201.8278517,172.9367992,2586.878804,170.6606884,2254.788034,STATUS,-1,1,60.02990112,297.5699161,3.720723061,-32.4511633,-5.347838759,4850.388788,3.513513514,3.594594595,3.081081081,4,4.513513514,3.702702703,3.567567568,4,3.72972973,4.513513514,5.108108108,4.72972973,2.500810811,2.892162162,4.923243243,3.90027027,4.09972973,3.076756757,3.142364865
139,f139_power.wav,1117.902161,46215.87879,1272.40402,69196.1709,62.50154646,166.0667718,59.52369127,165.9252438,215.9342671,1762.409916,197.4057085,1288.006872,SENSE,-1,1,63.25923701,1771.081267,5.928626273,10.65212287,-12.47712932,-7072.00625,4.72972973,4.72972973,4,5.324324324,5.486486486,4.72972973,2.621621622,2.324324324,2.594594595,4.351351351,4.675675676,4.972972973,3.395945946,4.071891892,3.766216216,4.783243243,3.216756757,4.233783784,3.729594595
140,f140_power.wav,1110.772871,34293.48375,1265.391539,71371.14102,64.70944967,209.170058,61.30434814,178.6425795,219.163603,3235.921267,199.726008,2075.283329,BATNA,1,1,40.7412398,47.09649191,-2.990620419,-76.15104097,37.38493591,2162.803216,3.108108108,3.459459459,2.837837838,3.351351351,4.702702703,3.648648649,4.135135135,4.405405405,4.567567568,4.27027027,4.891891892,4.540540541,4.486486486,5.18,2.512972973,4.666216216,3.333783784,5.487027027,4.621824324
144,f144_power.wav,1160.634936,43528.29322,1311.056705,61442.48487,55.79020298,122.3668941,50.96016747,125.5698061,196.6456058,1511.936492,181.6320742,995.5137057,INFO,-1,1,23.83980288,803.7935162,-0.804354214,-18.79670198,22.01659668,-8013.234702,4.055555556,3.472222222,2.861111111,4.277777778,5.055555556,4.305555556,2.916666667,2.888888889,3.916666667,4.583333333,5.277777778,5.25,3.134594595,3.901081081,4.369459459,4.568378378,3.431621622,3.630540541,3.524459459
145,f145_power.wav,1145.266597,33352.2553,1303.3002,51289.18526,57.97646919,179.7212331,57.88060218,176.5746876,179.7441689,2268.633516,171.5302105,2508.724856,SENSE,-1,1,62.04123773,493.265565,3.213311583,-38.81544258,29.19987783,7195.515939,3.717948718,3.41025641,2.871794872,4.692307692,5.153846154,4.641025641,3.102564103,3.358974359,3.615384615,5,5.076923077,5.384615385,3.462777778,4.546111111,3.240277778,5.0375,2.9625,4.759722222,3.932777778
146,f146_power.wav,1152.449878,48561.00594,1308.150034,50411.26702,61.99413498,159.7024925,58.4301873,236.0074905,217.9456037,1958.105565,203.2342634,1269.589739,SENSE,1,1,60.14507323,337.4619915,-2.51907108,-76.67036531,63.33106666,-2744.461567,2.710526316,2.868421053,2.578947368,3.210526316,4.552631579,3.657894737,4.236842105,4.526315789,4.157894737,4.394736842,4.605263158,4.184210526,3.333076923,4.828717949,3.358461538,5.153589744,2.846410256,4.641538462,3.912435897
148,f148_power.wav,1186.581067,38621.02843,1358.866693,44481.05065,56.26175232,121.8475698,57.26179518,133.6425313,216.0494392,1802.301992,206.0622113,2413.975687,BATNA,-1,1,70.2403293,-127.0730155,1.262640151,-31.94757,-25.11126833,-6381.045411,4.157894737,3.763157895,3.131578947,4.394736842,4.684210526,4.210526316,3.552631579,3.605263158,3.421052632,4.631578947,4.894736842,4.710526316,2.719210526,3.807105263,4.306578947,4.394473684,3.605526316,3.693421053,3.456315789
154,f154_power.wav,1098.138732,34984.44459,1238.79458,55058.77331,60.04346355,166.5703651,59.8923178,144.7499094,226.1446953,1337.766984,228.9150296,1903.519676,STATUS,1,1,36.80909606,1158.637845,2.231806477,-45.88266636,5.44609162,4105.499144,3.026315789,3.447368421,3.315789474,2.684210526,3.421052632,2.763157895,4.552631579,4.605263158,4.578947368,3.736842105,3.605263158,3.894736842,3.684210526,4.429736842,3.526052632,4.745526316,3.254473684,4.473947368,3.960592105
155,f155_power.wav,1128.696092,45470.98914,1290.652251,64124.72163,61.01262988,152.6352687,59.40683452,166.1585474,192.7134621,2623.477845,183.9075264,2905.316833,STATUS,-1,1,9.819287762,-165.479584,-3.059724842,-80.88738135,61.20300292,2007.310095,2.552631579,3.157894737,2.5,2.736842105,4.230769231,3.102564103,4.487179487,4.256410256,4.578947368,4.236842105,4.41025641,4.230769231,3.263684211,2.956315789,4.578684211,3.745526316,4.254473684,3.421315789,3.473947368
161,f161_power.wav,1184.453003,43372.8001,1383.506992,37435.74509,55.72109856,117.6305537,51.96877843,127.1155555,165.7236538,1299.360416,168.9228845,1227.877708,INFO,-1,1,52.75432303,-201.6085649,-2.554627166,19.39850141,-27.15949349,-7690.37921,2.897435897,3.358974359,2.897435897,3.179487179,4.025641026,3.230769231,4.487179487,4.743589744,4.58974359,4.230769231,4.538461538,4.128205128,2.736842105,3.367692308,4.443589744,4.29025641,3.70974359,3.556410256,3.348632479
163,f163_power.wav,1096.090507,33675.11079,1283.579807,43807.40974,56.22619623,217.9164365,52.3816779,233.1801815,208.658689,1263.231435,191.1164536,2690.236718,SENSE,-1,1,37.90443796,431.8843582,1.511616015,-14.57734641,-13.46252917,-5921.279464,3.55,4.075,3.525,4.075,4.8,4.125,3.275,3.6,3.275,4.125,4.9,4.325,3.051025641,3.478205128,4.607435897,4.299487179,3.700512821,3.392564103,3.405576923
165,f165_power.wav,1109.787471,35444.21054,1345.479447,62655.46165,60.29243942,183.9405887,58.48598738,160.1995941,193.808804,1896.724358,176.0559766,1773.118777,INFO,1,1,40.29790105,-674.0731787,-6.096255932,-8.536834984,3.775443863,-5625.517167,1.648648649,1.945945946,1.837837838,1.891891892,2.972972973,2.378378378,5.621621622,5.783783784,5.513513514,3.324324324,3.756756757,2.864864865,3.71675,4.3335,3.38375,4.45075,3.54925,4.61625,4.0539375
167,f167_power.wav,1127.025444,35739.97283,1281.529257,51621.48372,52.68456747,189.9811001,54.42084001,275.1765824,196.202267,790.7668213,196.2476147,919.6892587,SENSE,-1,1,5.818983822,710.0579464,3.008391088,83.09211733,-36.88477854,2522.703955,4.710526316,4.783783784,3.763157895,5.486486486,5.473684211,5.105263158,2.5,2.459459459,2.815789474,5.210526316,5.054054054,4.921052632,1.810810811,2.414324324,5.63972973,3.314864865,4.685135135,2.36027027,2.817635135
170,f170_power.wav,1086.365221,43888.19395,1270.883423,59425.78899,61.78921449,281.6100524,58.5404859,307.8593405,161.7233498,2174.897946,147.5366464,958.6665643,INFO,1,1,54.36738872,841.5171292,-4.539434162,-30.47911393,-9.841547373,-2004.672031,2.666666667,2.487179487,2.230769231,2.897435897,4,3.641025641,4.333333333,4.512820513,4.230769231,4.666666667,4.846153846,4.461538462,4.422105263,5.364210526,2.587894737,5.075263158,2.924736842,5.412105263,4.530789474
